index,Unique ID,Datetime,Structure,Neighborhood,Entries,Exits,Year,Month,Day,Hour,isHoliday,Neighborhood Size
461,253,2017-02-04 08:00:00,1,Financial District,530.0,2746.0,2017,2,4,8,0,2
923,253,2017-02-04 12:00:00,1,Financial District,2596.0,3987.0,2017,2,4,12,0,2
1384,253,2017-02-04 16:00:00,1,Financial District,4158.0,3744.0,2017,2,4,16,0,2
1848,253,2017-02-04 20:00:00,1,Financial District,2437.0,2036.0,2017,2,4,20,0,2
2311,253,2017-02-05 00:00:00,1,Financial District,889.0,629.0,2017,2,5,0,0,2
2774,253,2017-02-05 04:00:00,1,Financial District,120.0,81.0,2017,2,5,4,0,2
3235,253,2017-02-05 08:00:00,1,Financial District,397.0,1498.0,2017,2,5,8,0,2
3699,253,2017-02-05 12:00:00,1,Financial District,1939.0,3162.0,2017,2,5,12,0,2
4160,253,2017-02-05 16:00:00,1,Financial District,2798.0,3115.0,2017,2,5,16,0,2
4624,253,2017-02-05 20:00:00,1,Financial District,1651.0,1195.0,2017,2,5,20,0,2
5076,253,2017-02-06 00:00:00,1,Financial District,587.0,454.0,2017,2,6,0,0,2
5523,253,2017-02-06 04:00:00,1,Financial District,0.0,1.0,2017,2,6,4,0,2
5977,253,2017-02-06 08:00:00,1,Financial District,2688.0,8998.0,2017,2,6,8,0,2
6443,253,2017-02-06 12:00:00,1,Financial District,3724.0,5546.0,2017,2,6,12,0,2
6909,253,2017-02-06 16:00:00,1,Financial District,11423.0,4214.0,2017,2,6,16,0,2
7375,253,2017-02-06 20:00:00,1,Financial District,7169.0,2061.0,2017,2,6,20,0,2
7824,253,2017-02-07 00:00:00,1,Financial District,1210.0,375.0,2017,2,7,0,0,2
8257,253,2017-02-07 04:00:00,1,Financial District,0.0,1.0,2017,2,7,4,0,2
8711,253,2017-02-07 08:00:00,1,Financial District,2690.0,9113.0,2017,2,7,8,0,2
9177,253,2017-02-07 12:00:00,1,Financial District,4502.0,5544.0,2017,2,7,12,0,2
9643,253,2017-02-07 16:00:00,1,Financial District,10845.0,4387.0,2017,2,7,16,0,2
10109,253,2017-02-07 20:00:00,1,Financial District,7248.0,2083.0,2017,2,7,20,0,2
10558,253,2017-02-08 00:00:00,1,Financial District,1387.0,380.0,2017,2,8,0,0,2
10998,253,2017-02-08 04:00:00,1,Financial District,0.0,0.0,2017,2,8,4,0,2
11452,253,2017-02-08 08:00:00,1,Financial District,2794.0,9418.0,2017,2,8,8,0,2
11918,253,2017-02-08 12:00:00,1,Financial District,4361.0,5611.0,2017,2,8,12,0,2
12384,253,2017-02-08 16:00:00,1,Financial District,11042.0,4661.0,2017,2,8,16,0,2
12850,253,2017-02-08 20:00:00,1,Financial District,7374.0,2265.0,2017,2,8,20,0,2
13312,253,2017-02-09 00:00:00,1,Financial District,1441.0,379.0,2017,2,9,0,0,2
13768,253,2017-02-09 04:00:00,1,Financial District,50.0,93.0,2017,2,9,4,0,2
14231,253,2017-02-09 08:00:00,1,Financial District,1413.0,2576.0,2017,2,9,8,0,2
14697,253,2017-02-09 12:00:00,1,Financial District,1195.0,1862.0,2017,2,9,12,0,2
15163,253,2017-02-09 16:00:00,1,Financial District,3558.0,1791.0,2017,2,9,16,0,2
15629,253,2017-02-09 20:00:00,1,Financial District,2265.0,1122.0,2017,2,9,20,0,2
16074,253,2017-02-10 00:00:00,1,Financial District,658.0,359.0,2017,2,10,0,0,2
16509,253,2017-02-10 04:00:00,1,Financial District,1.0,32.0,2017,2,10,4,0,2
16963,253,2017-02-10 08:00:00,1,Financial District,2559.0,8181.0,2017,2,10,8,0,2
17429,253,2017-02-10 12:00:00,1,Financial District,3649.0,5358.0,2017,2,10,12,0,2
17895,253,2017-02-10 16:00:00,1,Financial District,10633.0,4308.0,2017,2,10,16,0,2
18361,253,2017-02-10 20:00:00,1,Financial District,5839.0,2297.0,2017,2,10,20,0,2
18827,253,2017-02-11 00:00:00,1,Financial District,1193.0,533.0,2017,2,11,0,0,2
19289,253,2017-02-11 04:00:00,1,Financial District,110.0,38.0,2017,2,11,4,0,2
19752,253,2017-02-11 08:00:00,1,Financial District,499.0,2186.0,2017,2,11,8,0,2
20215,253,2017-02-11 12:00:00,1,Financial District,2389.0,3575.0,2017,2,11,12,0,2
20677,253,2017-02-11 16:00:00,1,Financial District,3780.0,3196.0,2017,2,11,16,0,2
21142,253,2017-02-11 20:00:00,1,Financial District,2534.0,1742.0,2017,2,11,20,0,2
21604,253,2017-02-12 00:00:00,1,Financial District,1080.0,572.0,2017,2,12,0,0,2
22068,253,2017-02-12 04:00:00,1,Financial District,146.0,73.0,2017,2,12,4,0,2
